,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-03 13:30:00,False,517K,185K,260K
1,2023-01-06 13:30:00,False,223K,200K,256K
2,2022-12-02 13:30:00,False,263K,200K,284K
3,2022-11-04 12:30:00,False,261K,200K,315K
4,2022-10-07 12:30:00,False,263K,250K,315K
5,2022-09-02 12:30:00,False,315K,300K,526K
6,2022-08-05 12:30:00,False,528K,250K,398K
7,2022-07-08 12:30:00,False,372K,268K,384K
8,2022-06-03 12:30:00,False,390K,325K,436K
9,2022-05-06 12:30:00,False,428K,391K,428K
10,2022-04-01 12:30:00,False,431K,490K,750K
11,2022-03-04 13:30:00,False,678K,400K,481K
12,2022-02-04 13:30:00,False,467K,150K,510K
13,2022-01-07 13:30:00,False,199K,400K,249K
14,2021-12-03 13:30:00,False,210K,550K,546K
15,2021-11-05 12:30:00,False,531K,450K,312K
16,2021-10-08 12:30:00,False,194K,500K,366K
17,2021-09-03 12:30:00,False,235K,750K,"1,053K"
18,2021-08-06 12:30:00,False,943K,870K,938K
19,2021-07-02 12:30:00,False,850K,700K,583K
20,2021-06-04 12:30:00,False,559K,650K,278K
21,2021-05-07 12:30:00,False,266K,978K,770K
22,2021-04-02 12:30:00,False,916K,647K,468K
23,2021-03-05 13:30:00,False,379K,182K,166K
24,2021-02-05 13:30:00,False,49K,50K,-227K
25,2021-01-08 13:30:00,False,-140K,71K,336K
26,2020-12-04 13:30:00,False,245K,469K,610K
27,2020-11-06 13:30:00,False,638K,600K,672K
28,2020-10-02 13:30:00,False,661K,850K,"1,489K"
29,2020-09-04 13:30:00,False,"1,371K","1,400K","1,734K"
30,2020-08-07 13:30:00,False,"1,763K","1,600K","4,791K"
31,2020-07-02 13:30:00,False,"4,800K","3,000K","2,699K"
32,2020-06-05 13:30:00,False,"2,509K","-8,000K","-20,687K"
33,2020-05-08 13:30:00,False,"-20,500K","-22,000K",-870K
34,2020-04-03 13:30:00,False,-701K,-100K,275K
35,2020-03-06 13:30:00,False,273K,175K,273K
36,2020-02-07 13:30:00,False,225K,160K,147K
37,2020-01-10 13:30:00,False,145K,164K,256K
38,2019-12-06 13:30:00,False,266K,186K,156K
39,2019-11-01 12:30:00,False,128K,89K,180K
40,2019-10-04 12:30:00,False,136K,140K,168K
41,2019-09-06 12:30:00,False,130K,160K,159K
42,2019-08-02 12:30:00,False,164K,164K,193K
43,2019-07-05 12:30:00,False,224K,160K,72K
44,2019-06-07 12:30:00,False,75K,185K,224K
45,2019-05-03 12:30:00,False,263K,181K,189K
46,2019-04-05 12:30:00,False,196K,175K,33K
47,2019-03-08 13:30:00,False,20K,181K,311K
48,2019-02-01 13:30:00,False,304K,165K,222K
49,2019-01-04 13:30:00,False,312K,178K,176K
50,2018-12-07 13:30:00,False,155K,200K,237K
51,2018-11-02 12:30:00,False,250K,193K,118K
52,2018-10-05 12:30:00,False,134K,185K,270K
53,2018-09-07 12:30:00,False,201K,191K,147K
54,2018-08-03 12:30:00,False,157K,193K,248K
55,2018-07-06 12:30:00,False,213K,200K,244K
56,2018-06-01 12:30:00,False,223K,189K,159K
57,2018-05-04 12:30:00,False,164K,189K,135K
58,2018-04-06 12:30:00,False,103K,193K,326K
59,2018-03-09 13:30:00,False,313K,200K,239K
60,2018-02-02 13:30:00,False,200K,184K,160K
61,2018-01-05 13:30:00,False,148K,190K,252K
62,2017-12-08 13:30:00,False,228K,200K,244K
63,2017-11-03 12:30:00,False,261K,310K,18K
64,2017-10-06 12:30:00,False,-33K,90K,169K
65,2017-09-01 12:30:00,False,156K,180K,189K
66,2017-08-04 12:30:00,False,209K,183K,231K
67,2017-07-07 12:30:00,False,222K,179K,152K
68,2017-06-02 12:30:00,False,138K,185K,174K
69,2017-05-05 12:30:00,False,211K,185K,79K
70,2017-04-07 12:30:00,False,98K,180K,219K
71,2017-03-10 13:30:00,False,235K,200K,238K
72,2017-02-03 13:30:00,False,227K,175K,157K
73,2017-01-06 13:30:00,False,156K,178K,204K
