Timestamp,Prelim,Actual,Forecast,Previous
2023-01-18 08:30:00,False,6.2%,6.8%,7.3%
2022-12-09 08:30:00,False,7.4%,7.2%,8.1%
2022-11-15 08:30:00,False,8.0%,8.3%,8.4%
2022-10-12 07:30:00,False,8.5%,8.4%,8.7%
2022-09-14 07:30:00,False,8.7%,8.8%,9.8%
2022-08-11 07:30:00,False,9.8%,10.4%,11.3%
2022-07-14 07:30:00,False,11.3%,10.7%,10.9%
2022-06-14 07:30:00,False,10.8%,10.9%,10.9%
2022-05-12 07:30:00,False,11.0%,10.7%,11.5%
2022-04-13 07:30:00,False,11.2%,10.6%,10.3%
2022-03-15 07:30:00,False,10.0%,10.0%,10.0%
2022-02-15 08:30:00,False,9.7%,9.1%,9.8%
2022-01-13 08:30:00,False,9.7%,9.8%,9.8%
2021-12-14 08:30:00,False,9.6%,9.2%,8.8%
2021-11-09 08:30:00,False,8.6%,8.7%,8.6%
2021-10-14 07:30:00,False,8.6%,8.7%,8.3%
2021-09-10 07:30:00,False,8.3%,8.2%,7.8%
2021-08-12 07:30:00,False,7.8%,7.3%,7.3%
2021-07-14 07:30:00,False,7.3%,6.8%,6.6%
2021-06-15 07:30:00,False,6.6%,6.3%,6.2%
2021-05-13 07:30:00,False,6.2%,5.9%,4.2%
2021-04-09 07:30:00,False,4.2%,3.8%,2.8%
2021-03-12 08:30:00,False,2.8%,2.7%,1.7%
2021-02-17 08:30:00,False,1.7%,0.9%,0.8%
2021-01-15 08:30:00,False,0.8%,0.8%,0.8%
2020-12-11 08:30:00,False,0.8%,0.8%,0.5%
2020-11-13 08:30:00,False,0.5%,0.4%,0.4%
2020-10-14 07:30:00,False,0.4%,0.2%,-0.2%
2020-09-10 07:30:00,False,-0.2%,-0.3%,-0.4%
2020-08-11 07:30:00,False,-0.4%,-0.7%,-0.8%
2020-07-10 07:30:00,False,-0.8%,-0.2%,-0.8%
2020-06-11 07:30:00,False,-0.8%,-1.2%,-1.2%
2020-05-13 07:30:00,False,-1.2%,-0.2%,0.7%
2020-04-09 07:30:00,False,0.7%,0.5%,1.3%
2020-03-12 07:30:00,False,1.3%,1.8%,2.1%
2020-02-19 08:30:00,False,2.1%,1.6%,1.3%
2020-01-15 08:30:00,False,1.3%,1.3%,1.1%
2019-12-12 08:30:00,False,1.1%,1.2%,1.1%
2019-11-14 08:30:00,False,1.1%,0.9%,1.4%
2019-10-08 07:30:00,False,1.4%,1.8%,1.8%
2019-09-11 07:30:00,False,1.8%,1.7%,1.7%
2019-08-09 07:30:00,False,1.7%,1.7%,1.7%
2019-07-12 07:30:00,False,1.7%,1.6%,1.8%
2019-06-11 07:30:00,False,1.8%,2.0%,2.2%
2019-05-09 07:30:00,False,2.2%,2.3%,2.2%
2019-04-11 07:30:00,False,2.2%,1.9%,1.9%
2019-03-13 07:30:00,False,1.9%,1.9%,2.0%
2019-02-14 08:30:00,False,2.0%,2.1%,2.5%
2019-01-15 08:30:00,False,2.5%,2.5%,2.5%
2018-12-11 08:30:00,False,2.5%,2.5%,2.9%
2018-11-09 08:30:00,False,2.9%,2.5%,2.6%
2018-10-10 07:30:00,False,2.6%,2.8%,2.8%
2018-09-12 07:30:00,False,2.8%,3.2%,3.3%
2018-08-09 07:30:00,False,3.3%,3.4%,3.4%
2018-07-11 07:30:00,False,3.4%,3.2%,3.1%
2018-06-13 07:30:00,False,3.1%,2.8%,2.6%
2018-05-09 07:30:00,False,2.6%,2.8%,3.0%
2018-04-10 07:30:00,False,3.0%,2.9%,2.8%
2018-03-14 07:30:00,False,2.8%,2.8%,2.7%
2018-02-15 08:30:00,False,2.7%,2.5%,2.6%
2018-01-11 08:30:00,False,2.6%,3.0%,3.1%
2017-12-12 08:30:00,False,3.1%,2.9%,2.8%
2017-11-14 08:30:00,False,2.8%,2.4%,2.6%
2017-10-12 07:30:00,False,2.6%,2.5%,2.4%
2017-09-13 07:30:00,False,2.4%,2.5%,1.9%
2017-08-10 07:30:00,False,1.9%,2.2%,2.0%
2017-07-13 07:30:00,False,2.0%,1.9%,2.4%
2017-06-13 07:30:00,False,2.4%,2.3%,2.5%
2017-05-11 07:30:00,False,2.5%,2.2%,2.3%
2017-04-13 07:30:00,False,2.3%,2.4%,2.2%
2017-03-14 07:30:00,False,2.2%,2.0%,1.6%
2017-02-14 08:30:00,False,1.6%,1.5%,1.6%
2017-01-13 08:30:00,False,1.6%,1.6%,1.3%
