Timestamp,Prelim,Actual,Forecast,Previous
2023-01-18 08:30:00,False,5.5%,5.7%,6.2%
2022-12-09 08:30:00,False,6.2%,5.9%,6.8%
2022-11-15 08:30:00,False,6.7%,7.2%,7.1%
2022-10-12 07:30:00,False,7.2%,7.3%,7.2%
2022-09-14 07:30:00,False,7.3%,7.1%,7.7%
2022-08-11 07:30:00,False,7.6%,7.6%,8.4%
2022-07-14 07:30:00,False,8.2%,8.1%,8.5%
2022-06-14 07:30:00,False,8.3%,8.6%,8.6%
2022-05-12 07:30:00,False,8.8%,8.9%,9.6%
2022-04-13 07:30:00,False,9.2%,8.4%,8.7%
2022-03-15 07:30:00,False,8.4%,8.7%,8.5%
2022-02-15 08:30:00,False,8.3%,7.9%,8.5%
2022-01-13 08:30:00,False,8.3%,8.0%,7.9%
2021-12-14 08:30:00,False,7.7%,7.2%,7.0%
2021-11-09 08:30:00,False,6.8%,6.8%,6.8%
2021-10-14 07:30:00,False,6.8%,7.1%,6.7%
2021-09-10 07:30:00,False,6.7%,6.6%,6.2%
2021-08-12 07:30:00,False,6.2%,5.6%,5.6%
2021-07-14 07:30:00,False,5.6%,5.1%,4.8%
2021-06-15 07:30:00,False,4.8%,4.8%,4.1%
2021-05-13 07:30:00,False,4.1%,3.7%,3.1%
2021-04-09 07:30:00,False,3.1%,2.7%,2.5%
2021-03-12 08:30:00,False,2.5%,2.6%,2.0%
2021-02-17 08:30:00,False,2.0%,1.1%,1.2%
2021-01-15 08:30:00,False,1.2%,1.3%,1.4%
2020-12-11 08:30:00,False,1.4%,1.5%,1.1%
2020-11-13 08:30:00,False,1.1%,1.2%,1.2%
2020-10-14 07:30:00,False,1.2%,0.9%,0.6%
2020-09-10 07:30:00,False,0.6%,0.3%,0.3%
2020-08-11 07:30:00,False,0.3%,0.4%,0.1%
2020-07-10 07:30:00,False,0.1%,0.4%,0.3%
2020-06-11 07:30:00,False,0.3%,0.4%,0.6%
2020-05-13 07:30:00,False,0.6%,0.9%,1.4%
2020-04-09 07:30:00,False,1.4%,1.2%,1.4%
2020-03-12 07:30:00,False,1.4%,1.7%,1.7%
2020-02-19 08:30:00,False,1.7%,1.3%,1.1%
2020-01-15 08:30:00,False,1.1%,1.3%,1.3%
2019-12-12 08:30:00,False,1.3%,1.6%,1.6%
2019-11-14 08:30:00,False,1.6%,1.5%,2.0%
2019-10-08 07:30:00,False,2.0%,2.3%,2.3%
2019-09-11 07:30:00,False,2.3%,2.2%,2.1%
2019-08-09 07:30:00,False,2.1%,2.4%,2.3%
2019-07-12 07:30:00,False,2.3%,2.2%,2.3%
2019-06-11 07:30:00,False,2.3%,2.3%,2.4%
2019-05-09 07:30:00,False,2.4%,2.5%,2.4%
2019-04-11 07:30:00,False,2.4%,2.4%,2.5%
2019-03-13 07:30:00,False,2.5%,2.6%,2.6%
2019-02-14 08:30:00,False,2.6%,2.5%,2.7%
2019-01-15 08:30:00,False,2.7%,2.9%,2.7%
2018-12-11 08:30:00,False,2.7%,2.5%,2.6%
2018-11-09 08:30:00,False,2.6%,2.3%,2.5%
2018-10-10 07:30:00,False,2.5%,2.5%,2.3%
2018-09-12 07:30:00,False,2.3%,2.7%,2.7%
2018-08-09 07:30:00,False,2.7%,2.8%,2.8%
2018-07-11 07:30:00,False,2.8%,2.6%,2.4%
2018-06-13 07:30:00,False,2.4%,2.3%,2.3%
2018-05-09 07:30:00,False,2.3%,2.4%,2.7%
2018-04-10 07:30:00,False,2.7%,2.6%,2.5%
2018-03-14 07:30:00,False,2.5%,2.5%,2.2%
2018-02-15 08:30:00,False,2.2%,2.1%,2.3%
2018-01-11 08:30:00,False,2.3%,2.5%,2.4%
2017-12-12 08:30:00,False,2.4%,2.3%,2.4%
2017-11-14 08:30:00,False,2.4%,2.3%,2.2%
2017-10-12 07:30:00,False,2.2%,2.0%,2.0%
2017-09-13 07:30:00,False,2.0%,2.1%,1.8%
2017-08-10 07:30:00,False,1.8%,2.1%,1.9%
2017-07-13 07:30:00,False,1.9%,2.0%,2.1%
2017-06-13 07:30:00,False,2.1%,2.0%,1.9%
2017-05-11 07:30:00,False,1.9%,1.7%,1.6%
2017-04-13 07:30:00,False,1.6%,1.8%,1.5%
2017-03-14 07:30:00,False,1.5%,1.5%,1.2%
2017-02-14 08:30:00,False,1.2%,1.1%,1.6%
2017-01-13 08:30:00,False,1.6%,1.5%,1.6%
