Timestamp,Prelim,Actual,Forecast,Previous
2023-01-13 08:30:00,False,0.4%,-0.9%,-0.7%
2022-12-14 08:30:00,False,-0.6%,-0.5%,-0.4%
2022-11-16 08:30:00,False,-0.2%,-0.4%,-1.1%
2022-10-14 07:30:00,False,-1.2%,-1.1%,-1.1%
2022-09-15 07:30:00,False,-1.0%,-1.2%,-1.5%
2022-08-12 07:30:00,False,-1.4%,-1.0%,0.3%
2022-07-15 07:30:00,False,0.2%,0.7%,0.5%
2022-06-15 07:30:00,False,0.6%,1.1%,0.4%
2022-05-13 07:30:00,False,0.0%,0.6%,2.9%
2022-04-14 07:30:00,False,2.6%,2.3%,1.6%
2022-03-16 07:30:00,False,1.4%,1.5%,1.9%
2022-02-16 08:30:00,False,2.0%,1.3%,-0.4%
2022-01-14 08:30:00,False,-0.2%,0.3%,0.7%
2021-12-15 08:30:00,False,0.7%,0.7%,1.5%
2021-11-16 08:30:00,False,1.2%,1.0%,0.4%
2021-10-15 07:30:00,False,0.4%,0.6%,-0.3%
2021-09-15 07:30:00,False,-0.3%,0.3%,0.4%
2021-08-13 07:30:00,False,0.3%,0.6%,1.1%
2021-07-15 07:30:00,False,1.0%,1.2%,1.4%
2021-06-16 07:30:00,False,1.1%,0.8%,0.8%
2021-05-14 07:30:00,False,0.7%,0.6%,1.4%
2021-04-14 07:30:00,False,1.2%,1.0%,1.3%
2021-03-16 07:30:00,False,1.3%,1.2%,1.4%
2021-02-18 08:30:00,False,1.4%,1.0%,1.0%
2021-01-14 08:30:00,False,0.9%,0.7%,0.2%
2020-12-15 08:30:00,False,0.1%,0.3%,-0.1%
2020-11-17 08:30:00,False,-0.1%,0.2%,0.2%
2020-10-15 07:30:00,False,0.3%,0.3%,1.0%
2020-09-15 07:30:00,False,0.9%,0.5%,1.2%
2020-08-13 07:30:00,False,0.7%,0.6%,1.4%
2020-07-15 07:30:00,False,1.4%,1.0%,0.8%
2020-06-12 07:30:00,False,1.0%,0.6%,-2.6%
2020-05-14 07:30:00,False,-2.6%,-3.1%,-2.4%
2020-04-14 07:30:00,False,-2.3%,-3.2%,-0.7%
2020-03-13 07:30:00,False,-0.5%,-0.8%,0.1%
2020-02-14 08:30:00,False,0.0%,-0.2%,0.2%
2020-01-16 08:30:00,False,0.3%,0.3%,0.1%
2019-12-13 08:30:00,False,0.2%,0.2%,-0.5%
2019-11-15 08:30:00,False,-0.5%,-0.2%,0.1%
2019-10-11 07:30:00,False,0.2%,-0.1%,-0.2%
2019-09-13 07:30:00,False,-0.5%,-0.4%,0.1%
2019-08-14 07:30:00,False,0.2%,0.0%,-1.1%
2019-07-16 07:30:00,False,-0.9%,-0.7%,-0.3%
2019-06-13 07:30:00,False,-0.3%,-0.2%,0.1%
2019-05-14 07:30:00,False,0.2%,0.7%,0.6%
2019-04-12 07:30:00,False,0.6%,0.4%,1.0%
2019-03-14 07:30:00,False,0.6%,0.3%,0.1%
2019-02-15 08:30:00,False,-0.5%,-0.1%,-1.0%
2019-01-16 08:30:00,False,-1.0%,-1.3%,-1.9%
2018-12-13 08:30:00,False,-1.6%,-1.0%,0.5%
2018-11-15 08:30:00,False,0.5%,0.1%,0.2%
2018-10-12 07:30:00,False,0.5%,0.2%,-0.4%
2018-09-14 07:30:00,False,-0.6%,-0.2%,-0.1%
2018-08-14 07:30:00,False,0.0%,0.1%,-0.1%
2018-07-13 07:30:00,False,-0.4%,0.1%,0.9%
2018-06-14 07:30:00,False,0.6%,0.5%,0.6%
2018-05-11 07:30:00,False,0.3%,0.5%,-0.2%
2018-04-12 07:30:00,False,0.0%,0.2%,0.3%
2018-03-15 07:30:00,False,0.4%,0.3%,0.8%
2018-02-16 08:30:00,False,1.0%,0.6%,0.2%
2018-01-10 08:30:00,False,0.1%,0.4%,0.8%
2017-12-14 08:30:00,False,0.7%,0.8%,0.1%
2017-11-16 08:30:00,False,0.2%,0.4%,0.8%
2017-10-17 07:30:00,False,0.7%,0.5%,0.6%
2017-09-19 07:30:00,False,0.6%,0.4%,-0.1%
2017-08-15 07:30:00,False,0.1%,0.1%,-0.2%
2017-07-18 07:30:00,False,-0.2%,-0.2%,-0.1%
2017-06-15 07:30:00,False,-0.3%,-0.1%,0.2%
2017-05-10 07:30:00,False,0.5%,0.2%,0.1%
2017-04-12 07:30:00,False,-0.2%,-0.2%,0.4%
2017-03-09 08:30:00,False,0.2%,0.1%,0.6%
2017-02-10 08:30:00,False,0.4%,0.2%,0.5%
2017-01-12 08:30:00,False,0.4%,0.7%,-0.2%
