,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-18 14:15:00,False,78.8%,79.6%,79.4%
1,2022-12-15 14:15:00,False,79.7%,79.8%,79.9%
2,2022-11-16 14:15:00,False,79.9%,80.4%,80.1%
3,2022-10-18 13:15:00,False,80.3%,80.0%,80.1%
4,2022-09-15 13:15:00,False,80.0%,80.3%,80.2%
5,2022-08-16 13:15:00,False,80.3%,80.1%,79.9%
6,2022-07-15 13:15:00,False,80.0%,80.6%,80.3%
7,2022-06-17 13:15:00,False,79.0%,79.2%,78.9%
8,2022-05-17 13:15:00,False,79.0%,78.6%,78.2%
9,2022-04-15 13:15:00,False,78.3%,77.8%,77.7%
10,2022-03-17 13:15:00,False,77.6%,77.8%,77.3%
11,2022-02-16 14:15:00,False,77.6%,76.8%,76.6%
12,2022-01-14 14:15:00,False,76.5%,77.0%,76.6%
13,2021-12-16 14:15:00,False,76.8%,76.8%,76.5%
14,2021-11-16 14:15:00,False,76.4%,75.8%,75.2%
15,2021-10-18 13:15:00,False,75.2%,76.5%,76.2%
16,2021-09-15 13:15:00,False,76.4%,76.4%,76.2%
17,2021-08-17 13:15:00,False,76.1%,75.7%,75.4%
18,2021-07-15 13:15:00,False,75.4%,75.6%,75.1%
19,2021-06-15 13:15:00,False,75.2%,75.1%,74.6%
20,2021-05-14 13:15:00,False,74.9%,75.0%,74.4%
21,2021-04-15 13:15:00,False,74.4%,75.7%,73.4%
22,2021-03-16 13:15:00,False,73.8%,75.5%,75.5%
23,2021-02-17 14:15:00,False,75.6%,74.8%,74.9%
24,2021-01-15 14:15:00,False,74.5%,73.6%,73.4%
25,2020-12-15 14:15:00,False,73.3%,72.9%,73.0%
26,2020-11-17 14:15:00,False,72.8%,72.3%,72.0%
27,2020-10-16 13:15:00,False,71.5%,71.9%,72.0%
28,2020-09-15 13:15:00,False,71.4%,71.4%,71.1%
29,2020-08-14 13:15:00,False,70.6%,70.3%,68.5%
30,2020-07-15 13:15:00,False,68.6%,67.7%,65.1%
31,2020-06-16 13:15:00,False,64.8%,66.9%,64.0%
32,2020-05-15 13:15:00,False,64.9%,64.0%,73.2%
33,2020-04-15 13:15:00,False,72.7%,73.8%,77.0%
34,2020-03-17 13:15:00,False,77.0%,77.1%,76.6%
35,2020-02-14 14:15:00,False,76.8%,76.8%,77.1%
36,2020-01-17 14:15:00,False,77.0%,77.1%,77.4%
37,2019-12-17 14:15:00,False,77.3%,77.4%,76.6%
38,2019-11-15 14:15:00,False,76.7%,77.1%,77.5%
39,2019-10-17 13:15:00,False,77.5%,77.7%,77.9%
40,2019-09-17 13:15:00,False,77.9%,77.6%,77.5%
41,2019-08-15 13:15:00,False,77.5%,77.8%,77.8%
42,2019-07-16 13:15:00,False,77.9%,78.2%,78.1%
43,2019-06-14 13:15:00,False,78.1%,78.0%,77.9%
44,2019-05-15 13:15:00,False,77.9%,78.7%,78.5%
45,2019-04-16 13:15:00,False,78.8%,79.1%,79.0%
46,2019-03-15 13:15:00,False,78.2%,78.4%,78.3%
47,2019-02-15 14:15:00,False,78.2%,78.8%,78.8%
48,2019-01-18 14:15:00,False,78.7%,78.6%,78.6%
49,2018-12-14 14:15:00,False,78.5%,78.6%,78.1%
50,2018-11-16 14:15:00,False,78.4%,78.3%,78.5%
51,2018-10-16 13:15:00,False,78.1%,78.2%,78.1%
52,2018-09-14 13:15:00,False,78.1%,78.3%,77.9%
53,2018-08-15 13:15:00,False,78.1%,78.3%,78.1%
54,2018-07-17 13:15:00,False,78.0%,78.4%,77.7%
55,2018-06-15 13:15:00,False,77.9%,78.1%,78.1%
56,2018-05-16 13:15:00,False,78.0%,78.4%,77.6%
57,2018-04-17 13:15:00,False,78.0%,77.9%,77.7%
58,2018-03-16 13:15:00,False,78.1%,77.7%,77.4%
59,2018-02-15 14:15:00,False,77.5%,78.0%,77.7%
60,2018-01-17 14:15:00,False,77.9%,77.3%,77.2%
61,2017-12-15 14:15:00,False,77.1%,77.3%,77.0%
62,2017-11-16 14:15:00,False,77.0%,76.3%,76.4%
63,2017-10-17 13:15:00,False,76.0%,76.2%,75.8%
64,2017-09-15 13:15:00,False,76.1%,76.8%,76.9%
65,2017-08-17 12:45:00,False,76.7%,76.7%,76.7%
66,2017-07-14 13:15:00,False,76.6%,76.7%,76.4%
67,2017-06-15 13:15:00,False,76.6%,76.7%,76.7%
68,2017-05-16 13:15:00,False,76.7%,76.3%,76.1%
69,2017-04-18 13:15:00,False,76.1%,76.2%,75.7%
70,2017-03-17 13:15:00,False,75.4%,75.5%,75.5%
71,2017-02-15 14:15:00,False,75.3%,75.5%,75.6%
72,2017-01-18 14:15:00,False,75.5%,75.4%,74.9%
