Timestamp,Prelim,Actual,Forecast,Previous
2023-02-01 10:00:00,False,11.012M,10.250M,10.440M
2023-01-04 10:00:00,False,10.458M,10.000M,10.512M
2022-11-30 10:00:00,False,10.334M,10.300M,10.687M
2022-11-01 09:00:00,False,10.717M,10.000M,10.280M
2022-10-04 09:00:00,False,10.053M,10.775M,11.170M
2022-08-30 09:00:00,False,11.239M,10.475M,11.040M
2022-08-02 09:00:00,False,10.698M,11.000M,11.303M
2022-07-06 09:00:00,False,11.254M,11.000M,11.681M
2022-06-01 09:00:00,False,11.400M,11.400M,11.855M
2022-05-03 09:00:00,False,11.549M,11.000M,11.344M
2022-03-29 09:00:00,False,11.266M,11.000M,11.283M
2022-03-09 10:00:00,False,11.263M,10.925M,11.448M
2022-02-01 10:00:00,False,10.925M,10.300M,10.775M
2022-01-04 10:00:00,False,10.562M,11.075M,11.091M
2021-12-08 10:00:00,False,11.033M,10.369M,10.602M
2021-11-12 10:00:00,False,10.438M,10.300M,10.629M
2021-10-12 09:00:00,False,10.439M,10.925M,11.098M
2021-09-08 09:00:00,False,10.934M,10.000M,10.185M
2021-08-09 09:00:00,False,10.073M,9.281M,9.483M
2021-07-07 09:00:00,False,9.209M,9.388M,9.193M
2021-06-08 09:00:00,False,9.286M,8.300M,8.288M
2021-05-11 09:00:00,False,8.123M,7.500M,7.526M
2021-04-06 09:00:00,False,7.367M,6.995M,7.099M
2021-03-11 10:00:00,False,6.917M,6.600M,6.752M
2021-02-09 10:00:00,False,6.646M,6.500M,6.572M
2021-01-12 10:00:00,False,6.527M, ,6.632M
2020-12-09 10:00:00,False,6.652M,6.300M,6.494M
2020-11-10 10:00:00,False,6.436M,6.500M,6.352M
2020-10-06 09:00:00,False,6.493M,6.685M,6.697M
2020-09-09 09:00:00,False,6.618M,6.000M,6.001M
2020-08-10 09:00:00,False,5.889M, ,5.371M
2020-07-07 09:00:00,False,5.397M,4.850M,4.996M
2020-06-09 09:00:00,False,5.046M,5.000M,6.011M
2020-05-15 09:00:00,False,6.191M, ,7.004M
2020-04-07 09:00:00,False,6.882M,6.600M,7.012M
2020-03-17 09:00:00,False,6.963M,6.476M,6.552M
2020-02-11 10:00:00,False,6.423M,7.000M,6.787M
2020-01-17 10:00:00,False,6.800M,7.233M,7.361M
2019-12-17 10:00:00,False,7.267M,7.018M,7.032M
2019-11-05 10:00:00,False,7.024M,7.028M,7.301M
2019-10-09 09:00:00,False,7.051M,7.191M,7.174M
2019-09-10 09:00:00,False,7.217M,7.311M,7.248M
2019-08-06 09:00:00,False,7.348M,7.450M,7.384M
2019-07-09 09:00:00,False,7.323M,7.470M,7.372M
2019-06-10 09:00:00,False,7.449M,7.479M,7.474M
2019-05-07 09:00:00,False,7.488M,7.350M,7.142M
2019-04-09 09:00:00,False,7.087M,7.550M,7.625M
2019-03-15 09:00:00,False,7.581M,7.310M,7.479M
2019-02-12 10:00:00,False,7.335M,6.900M,7.166M
2019-01-08 10:00:00,False,6.888M,7.063M,7.131M
2018-12-10 10:00:00,False,7.079M,7.220M,6.960M
2018-11-06 10:00:00,False,7.009M,7.100M,7.293M
2018-10-16 09:00:00,False,7.136M,6.945M,7.077M
2018-09-11 09:00:00,False,6.939M,6.646M,6.822M
2018-08-07 09:00:00,False,6.662M,6.740M,6.659M
2018-07-10 09:00:00,False,6.638M,6.583M,6.840M
2018-06-05 09:00:00,False,6.698M,6.490M,6.633M
2018-05-08 09:00:00,False,6.550M,6.020M,6.078M
2018-04-13 09:00:00,False,6.052M,6.110M,6.228M
2018-03-16 09:00:00,False,6.312M,5.890M,5.667M
2018-02-06 10:00:00,False,5.811M,5.950M,5.978M
2018-01-09 10:00:00,False,5.879M,6.038M,5.925M
2017-12-11 10:00:00,False,5.996M,6.030M,6.177M
2017-11-07 10:00:00,False,6.093M,6.091M,6.090M
2017-10-11 09:00:00,False,6.082M,6.125M,6.140M
2017-09-12 09:00:00,False,6.170M,5.960M,6.116M
2017-08-08 09:00:00,False,6.163M,5.775M,5.702M
2017-07-11 09:00:00,False,5.666M,5.950M,5.967M
2017-06-06 09:00:00,False,6.044M,5.650M,5.785M
2017-05-09 09:00:00,False,5.743M,5.670M,5.682M
2017-04-11 09:00:00,False,5.743M,5.655M,5.625M
2017-03-16 09:00:00,False,5.626M,5.450M,5.539M
2017-02-07 10:00:00,False,5.501M,5.568M,5.505M
2017-01-10 10:00:00,False,5.522M,5.555M,5.451M
