,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-19 13:30:00,False,-1.4%, ,-1.8%
1,2022-12-20 13:30:00,False,-0.5%, ,-2.1%
2,2022-11-17 13:30:00,False,-4.2%, ,-1.3%
3,2022-10-19 12:30:00,False,-8.1%, ,13.7%
4,2022-09-20 12:30:00,False,12.2%, ,-10.9%
5,2022-08-16 12:30:00,False,-9.6%, ,2.4%
6,2022-07-19 12:30:00,False,-2.0%, ,-11.9%
7,2022-06-16 12:30:00,False,-14.4%, ,5.5%
8,2022-05-18 12:30:00,False,-0.2%, ,-2.8%
9,2022-04-19 12:30:00,False,0.3%, ,6.5%
10,2022-03-17 12:30:00,False,6.8%, ,-5.5%
11,2022-02-17 13:30:00,False,-4.1%, ,0.3%
12,2022-01-19 13:30:00,False,1.4%, ,8.1%
13,2021-12-16 13:30:00,False,11.8%, ,-3.1%
14,2021-11-17 13:30:00,False,-0.7%, ,-2.7%
15,2021-10-19 12:30:00,False,-1.6%, ,1.2%
16,2021-09-21 12:30:00,False,3.9%, ,-6.2%
17,2021-08-18 12:30:00,False,-7.0%, ,3.5%
18,2021-07-20 12:30:00,False,6.3%, ,2.1%
19,2021-06-16 12:30:00,False,3.6%, ,-12.1%
20,2021-05-18 12:30:00,False,-9.5%, ,19.8%
21,2021-04-16 12:30:00,False,19.4%, ,-11.3%
22,2021-03-17 12:30:00,False,-10.3%, ,-5.1%
23,2021-02-18 13:30:00,False,-6.0%, ,8.2%
24,2021-01-21 13:30:00,False,5.8%, ,3.1%
25,2020-12-17 13:30:00,False,1.2%, ,6.3%
26,2020-11-18 13:30:00,False,4.9%, ,6.3%
27,2020-10-20 12:30:00,False,1.9%, ,-6.7%
28,2020-09-17 12:30:00,False,-5.1%, ,17.9%
29,2020-08-18 12:30:00,False,22.6%, ,17.5%
30,2020-07-17 12:30:00,False,17.3%, ,8.2%
31,2020-06-17 12:30:00,False,4.3%, ,-26.4%
32,2020-05-19 12:30:00,False,-30.2%, ,-18.6%
33,2020-04-16 12:30:00,False,-22.3%, ,-3.4%
34,2020-03-18 12:30:00,False,-1.5%, ,1.4%
35,2020-02-19 13:30:00,False,-3.6%,-30.7%,17.7%
36,2020-01-17 13:30:00,False,16.9%, ,2.6%
37,2019-12-17 13:30:00,False,3.2%, ,4.5%
38,2019-11-19 13:30:00,False,3.8%, ,-7.9%
39,2019-10-17 12:30:00,False,-9.4%,-8.6%,15.1%
40,2019-09-18 12:30:00,False,12.3%,4.5%,-1.5%
41,2019-08-16 12:30:00,False,-4.0%, ,-1.8%
42,2019-07-17 12:30:00,False,-0.9%, ,-0.4%
43,2019-06-18 12:30:00,False,-0.9%,-0.4%,6.8%
44,2019-05-16 12:30:00,False,5.7%,6.2%,1.7%
45,2019-04-19 12:30:00,False,-0.3%,6.5%,-12.0%
46,2019-03-26 12:30:00,False,-8.7%,-0.8%,11.7%
47,2019-03-08 13:30:00,False,18.6%,9.9%,-14.0%
48,2019-02-26 13:30:00,False,-11.2%,-0.5%,0.4%
49,2018-12-18 13:30:00,False,3.2%,-0.2%,-1.6%
50,2018-11-20 13:30:00,False,1.5%,1.6%,-5.5%
51,2018-10-17 12:30:00,False,-5.3%,-4.5%,7.1%
52,2018-09-19 12:30:00,False,9.2%,5.8%,-0.3%
53,2018-08-16 12:30:00,False,0.9%,7.4%,-12.9%
54,2018-07-18 12:30:00,False,-12.3%,-2.2%,4.8%
55,2018-06-19 12:30:00,False,5.0%,1.4%,-3.1%
56,2018-05-16 12:30:00,False,-3.7%,-0.7%,3.6%
57,2018-04-17 12:30:00,False,1.9%,1.9%,-3.3%
58,2018-03-16 12:30:00,False,-7.0%,6.0%,10.1%
59,2018-02-16 13:30:00,False,9.7%,3.4%,-6.9%
60,2018-01-18 13:30:00,False,-8.2%, ,3.0%
61,2017-12-19 13:30:00,False,3.3%,-3.2%,8.4%
62,2017-11-17 13:30:00,False,13.7%,5.6%,-3.2%
63,2017-10-18 12:30:00,False,-4.7%,-0.5%,-0.2%
64,2017-09-19 12:30:00,False,-0.8%,1.7%,-2.2%
65,2017-08-16 12:30:00,False,-4.8%,0.5%,7.4%
66,2017-07-19 12:30:00,False,8.3%,5.8%,-2.8%
67,2017-06-16 12:30:00,False,-5.5%,4.1%,-2.8%
68,2017-05-16 12:30:00,False,-2.6%,3.7%,-6.6%
69,2017-04-18 12:30:00,False,-6.8%,-3.0%,5.0%
70,2017-03-16 12:30:00,False,3.0%,1.4%,-1.9%
71,2017-02-16 13:30:00,False,-2.6%,0.1%,11.3%
72,2017-01-19 13:30:00,False,11.3%,8.6%,-16.5%
