Timestamp,Prelim,Actual,Forecast,Previous
2023-01-26 08:00:00,False,1.337M, ,1.351M
2023-01-19 08:30:00,True,1.330M,1.370M,1.351M
2022-12-20 08:30:00,True,1.342M,1.485M,1.512M
2022-11-23 08:00:00,False,1.512M,1.526M,1.564M
2022-11-17 08:30:00,True,1.526M,1.512M,1.564M
2022-10-19 07:30:00,False,1.564M,1.530M,1.542M
2022-09-20 07:30:00,False,1.517M,1.610M,1.685M
2022-08-16 07:30:00,False,1.674M,1.650M,1.696M
2022-07-19 07:30:00,False,1.685M,1.650M,1.695M
2022-06-16 07:30:00,False,1.695M,1.785M,1.823M
2022-05-18 07:30:00,False,1.819M,1.812M,1.879M
2022-04-19 07:30:00,False,1.873M,1.825M,1.865M
2022-03-17 07:30:00,False,1.859M,1.850M,1.895M
2022-02-17 08:30:00,False,1.899M,1.760M,1.885M
2022-01-19 08:30:00,False,1.873M,1.701M,1.717M
2021-12-16 08:30:00,False,1.712M,1.663M,1.653M
2021-11-17 08:30:00,False,1.650M,1.638M,1.586M
2021-10-19 07:30:00,False,1.589M,1.680M,1.721M
2021-09-21 07:30:00,False,1.728M,1.600M,1.630M
2021-08-18 07:30:00,False,1.635M,1.610M,1.594M
2021-07-20 07:30:00,False,1.598M,1.700M,1.683M
2021-06-16 07:30:00,False,1.681M,1.730M,1.733M
2021-05-18 07:30:00,False,1.760M,1.770M,1.755M
2021-04-16 07:30:00,False,1.766M,1.750M,1.720M
2021-03-17 07:30:00,False,1.682M,1.750M,1.886M
2021-02-18 08:30:00,False,1.881M,1.678M,1.704M
2021-01-21 08:30:00,False,1.709M,1.604M,1.635M
2020-12-17 08:30:00,False,1.639M,1.550M,1.544M
2020-11-18 08:30:00,False,1.545M,1.560M,1.545M
2020-10-20 07:30:00,False,1.553M,1.520M,1.476M
2020-09-17 07:30:00,False,1.470M,1.520M,1.483M
2020-08-18 07:30:00,False,1.495M,1.320M,1.258M
2020-07-17 07:30:00,False,1.241M,1.290M,1.216M
2020-06-17 07:30:00,False,1.220M,1.228M,1.066M
2020-05-19 07:30:00,False,1.074M,1.000M,1.356M
2020-04-16 07:30:00,False,1.353M,1.300M,1.452M
2020-03-18 07:30:00,False,1.464M,1.500M,1.550M
2020-02-19 08:30:00,False,1.551M,1.450M,1.420M
2020-01-17 08:30:00,False,1.416M,1.468M,1.474M
2019-12-17 08:30:00,False,1.482M,1.410M,1.461M
2019-11-19 08:30:00,False,1.461M,1.385M,1.391M
2019-10-17 07:30:00,False,1.387M,1.340M,1.425M
2019-09-18 07:30:00,False,1.419M,1.310M,1.317M
2019-08-16 07:30:00,False,1.336M,1.270M,1.232M
2019-07-17 07:30:00,False,1.220M,1.300M,1.299M
2019-06-18 07:30:00,False,1.294M,1.296M,1.290M
2019-05-16 07:30:00,False,1.296M,1.290M,1.288M
2019-04-19 07:30:00,False,1.269M,1.300M,1.291M
2019-03-26 07:30:00,False,1.296M,1.320M,1.317M
2019-03-08 08:30:00,False,1.345M,1.289M,1.326M
2019-02-26 08:30:00,False,1.326M,1.290M,1.322M
2018-12-18 08:30:00,False,1.328M,1.259M,1.265M
2018-11-20 08:30:00,False,1.263M,1.260M,1.270M
2018-10-17 07:30:00,False,1.241M,1.278M,1.249M
2018-09-19 07:30:00,False,1.229M,1.310M,1.311M
2018-08-16 07:30:00,False,1.311M,1.310M,1.292M
2018-07-18 07:30:00,False,1.273M,1.330M,1.301M
2018-06-19 07:30:00,False,1.301M,1.350M,1.364M
2018-05-16 07:30:00,False,1.352M,1.347M,1.377M
2018-04-17 07:30:00,False,1.354M,1.330M,1.321M
2018-03-16 07:30:00,False,1.298M,1.320M,1.377M
2018-02-16 08:30:00,False,1.396M,1.290M,1.300M
2018-01-18 08:30:00,False,1.302M,1.290M,1.303M
2017-12-19 08:30:00,False,1.298M,1.273M,1.316M
2017-11-17 08:30:00,False,1.297M,1.247M,1.225M
2017-10-18 07:30:00,False,1.215M,1.245M,1.272M
2017-09-19 07:30:00,False,1.300M,1.220M,1.230M
2017-08-16 07:30:00,False,1.223M,1.250M,1.275M
2017-07-19 07:30:00,False,1.254M,1.200M,1.168M
2017-06-16 07:30:00,False,1.168M,1.250M,1.228M
2017-05-16 07:30:00,False,1.229M,1.270M,1.260M
2017-04-18 07:30:00,False,1.260M,1.250M,1.213M
2017-03-16 07:30:00,False,1.213M,1.260M,1.285M
2017-02-16 08:30:00,False,1.285M,1.230M,1.228M
2017-01-19 08:30:00,False,1.210M,1.225M,1.212M
