,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-11-01 18:00:00,False, , , 
1,2023-09-20 18:00:00,False, , , 
2,2023-07-26 18:00:00,False, , , 
3,2023-06-14 18:00:00,False, , , 
4,2023-05-03 18:00:00,False, , , 
5,2023-03-22 18:00:00,False, , , 
6,2023-02-01 19:00:00,False,4.75%,4.75%,4.50%
7,2022-12-14 19:00:00,False,4.50%,4.50%,4.00%
8,2022-11-02 18:00:00,False,4.00%,4.00%,3.25%
9,2022-09-21 18:00:00,False,3.25%,3.25%,2.50%
10,2022-07-27 18:00:00,False,2.50%,2.50%,1.75%
11,2022-06-15 18:00:00,False,1.75%,1.50%,1.00%
12,2022-05-04 18:00:00,False,1.00%,1.00%,0.50%
13,2022-03-16 18:00:00,False,0.50%,0.50%,0.25%
14,2022-01-26 19:00:00,False,0.25%,0.25%,0.25%
15,2021-12-15 19:00:00,False,0.25%,0.25%,0.25%
16,2021-11-03 18:00:00,False,0.25%,0.25%,0.25%
17,2021-09-22 18:00:00,False,0.25%,0.25%,0.25%
18,2021-07-28 18:00:00,False,0.25%,0.25%,0.25%
19,2021-06-16 18:00:00,False,0.25%,0.25%,0.25%
20,2021-04-28 18:00:00,False,0.25%,0.25%,0.25%
21,2021-03-17 18:00:00,False,0.25%,0.25%,0.25%
22,2021-01-27 19:00:00,False,0.25%,0.25%,0.25%
23,2020-12-16 19:00:00,False,0.25%,0.25%,0.25%
24,2020-11-05 19:00:00,False,0.25%,0.25%,0.25%
25,2020-09-16 18:00:00,False,0.25%,0.25%,0.25%
26,2020-07-29 18:00:00,False,0.25%,0.25%,0.25%
27,2020-06-10 18:00:00,False,0.25%,0.25%,0.25%
28,2020-04-29 18:00:00,False,0.25%,0.25%,0.25%
29,2020-03-15 21:00:00,False,0.25%, ,1.25%
30,2020-03-03 15:00:00,False,1.25%, ,1.75%
31,2020-01-29 19:00:00,False,1.75%,1.75%,1.75%
32,2019-12-11 19:00:00,False,1.75%,1.75%,1.75%
33,2019-10-30 18:00:00,False,1.75%,1.75%,2.00%
34,2019-09-18 18:00:00,False,2.00%,2.00%,2.25%
35,2019-07-31 18:00:00,False,2.25%,2.25%,2.50%
36,2019-06-19 18:00:00,False,2.50%,2.50%,2.50%
37,2019-05-01 18:00:00,False,2.50%,2.50%,2.50%
38,2019-03-20 18:00:00,False,2.50%,2.50%,2.50%
39,2019-01-30 19:00:00,False,2.50%,2.50%,2.50%
40,2018-12-19 19:00:00,False,2.50%,2.50%,2.25%
41,2018-11-08 19:00:00,False,2.25%,2.25%,2.25%
42,2018-09-26 18:00:00,False,2.25%,2.25%,2.00%
43,2018-08-01 18:00:00,False,2.00%,2.00%,2.00%
44,2018-06-13 18:00:00,False,2.00%,2.00%,1.75%
45,2018-05-02 18:00:00,False,1.75%,1.75%,1.75%
46,2018-03-21 18:00:00,False,1.75%,1.75%,1.50%
47,2018-01-31 19:00:00,False,1.50%,1.50%,1.50%
48,2017-12-13 19:00:00,False,1.50%,1.50%,1.25%
49,2017-11-01 18:00:00,False,1.25%,1.25%,1.25%
50,2017-09-20 18:00:00,False,1.25%,1.25%,1.25%
51,2017-07-26 18:00:00,False,1.25%,1.25%,1.25%
52,2017-06-14 18:00:00,False,1.25%,1.25%,1.00%
53,2017-05-03 18:00:00,False,1.00%,1.00%,1.00%
54,2017-03-15 18:00:00,False,1.00%,1.00%,0.75%
55,2017-02-01 19:00:00,False,0.75%,0.75%,0.75%
