,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-20 13:30:00,False,-0.1%,-0.5%,1.3%
1,2022-12-20 13:30:00,False,1.4%,1.5%,-0.6%
2,2022-11-22 13:30:00,False,-0.5%,-0.5%,0.4%
3,2022-10-21 12:30:00,False,0.7%,0.2%,-2.2%
4,2022-09-23 12:30:00,False,-2.5%,-2.0%,1.0%
5,2022-08-19 12:30:00,False,1.1%,0.3%,2.3%
6,2022-07-22 12:30:00,False,2.2%,1.6%,0.7%
7,2022-06-21 12:30:00,False,0.9%,0.8%,0.2%
8,2022-05-26 12:30:00,False,0.0%,1.4%,0.2%
9,2022-04-22 12:30:00,False,0.1%,-0.4%,3.3%
10,2022-03-18 12:30:00,False,3.2%,2.4%,-2.0%
11,2022-02-18 13:30:00,False,-1.8%,-2.1%,0.8%
12,2022-01-21 13:30:00,False,0.7%,1.2%,1.5%
13,2021-12-21 13:30:00,False,1.6%,1.0%,-0.6%
14,2021-11-19 13:30:00,False,-0.6%,-1.7%,2.1%
15,2021-10-22 12:30:00,False,2.1%,2.0%,-0.1%
16,2021-09-23 12:30:00,False,-0.6%,-1.2%,4.2%
17,2021-08-20 12:30:00,False,4.2%,4.4%,-2.1%
18,2021-07-23 12:30:00,False,-2.1%,-3.0%,-5.7%
19,2021-06-23 12:30:00,False,-5.7%,-5.0%,3.6%
20,2021-05-21 12:30:00,False,3.6%,2.3%,4.8%
21,2021-04-28 12:30:00,False,4.8%,4.0%,-1.1%
22,2021-03-19 12:30:00,False,-1.1%,-3.0%,-3.4%
23,2021-02-19 13:30:00,False,-3.4%,-2.5%,1.8%
24,2021-01-22 13:30:00,False,1.3%,0.1%,0.4%
25,2020-12-18 13:30:00,False,0.4%,0.2%,1.1%
26,2020-11-20 13:30:00,False,1.1%,0.2%,0.4%
27,2020-10-21 12:30:00,False,0.4%,1.1%,0.6%
28,2020-09-18 12:30:00,False,0.6%,1.0%,22.7%
29,2020-08-21 12:30:00,False,23.7%,24.5%,21.2%
30,2020-07-21 12:30:00,False,18.7%,20.0%,-25.0%
31,2020-06-19 12:30:00,False,-26.4%,-15.1%,-9.9%
32,2020-05-22 12:30:00,False,-10.0%,-10.0%,0.4%
33,2020-04-21 12:30:00,False,0.3%,0.2%,0.6%
34,2020-03-20 12:30:00,False,0.4%,0.3%,0.2%
35,2020-02-21 13:30:00,False,0.0%,0.1%,1.1%
36,2020-01-24 13:30:00,False,0.9%,0.4%,-1.1%
37,2019-12-20 13:30:00,False,-1.2%,0.5%,-0.1%
38,2019-11-22 13:30:00,False,-0.1%,-0.1%,0.1%
39,2019-10-22 12:30:00,False,-0.1%,0.5%,0.6%
40,2019-09-20 12:30:00,False,0.4%,0.4%,-0.1%
41,2019-08-23 12:30:00,False,0.0%,-0.1%,-0.2%
42,2019-07-19 12:30:00,False,-0.1%,0.3%,0.2%
43,2019-06-21 12:30:00,False,0.1%,0.3%,1.3%
44,2019-05-22 12:30:00,False,1.1%,1.0%,1.0%
45,2019-04-18 12:30:00,False,0.8%,0.4%,-0.4%
46,2019-03-22 12:30:00,False,-0.3%,0.4%,-0.3%
47,2019-02-22 13:30:00,False,-0.1%,0.0%,-0.9%
48,2019-01-23 13:30:00,False,-0.9%,-0.6%,0.2%
49,2018-12-21 13:30:00,False,0.3%,0.4%,0.1%
50,2018-11-23 13:30:00,False,0.2%,0.1%,-0.1%
51,2018-10-19 12:30:00,False,-0.1%,0.3%,0.2%
52,2018-09-21 12:30:00,False,0.3%,0.4%,-0.1%
53,2018-08-22 12:30:00,False,-0.2%,0.1%,2.2%
54,2018-07-20 12:30:00,False,2.0%,1.1%,-1.2%
55,2018-06-22 12:30:00,False,-1.2%,0.0%,0.8%
56,2018-05-18 12:30:00,False,0.6%,0.3%,0.5%
57,2018-04-20 12:30:00,False,0.4%,0.3%,0.1%
58,2018-03-23 12:30:00,False,0.3%,1.1%,-0.7%
59,2018-02-22 13:30:00,False,-0.8%,0.0%,0.3%
60,2018-01-25 13:30:00,False,0.2%,0.8%,1.6%
61,2017-12-21 13:30:00,False,1.5%,0.3%,0.2%
62,2017-11-23 13:30:00,False,0.1%,0.9%,-0.1%
63,2017-10-20 12:30:00,False,-0.3%,0.5%,0.4%
64,2017-09-22 12:30:00,False,0.4%,0.1%,0.1%
65,2017-08-22 12:30:00,False,0.1%,0.3%,0.5%
66,2017-07-21 12:30:00,False,0.6%,0.2%,0.7%
67,2017-06-22 12:30:00,False,0.8%,0.2%,0.5%
68,2017-05-19 12:30:00,False,0.7%,0.4%,-0.4%
69,2017-04-26 12:30:00,False,-0.6%,-0.1%,2.3%
70,2017-03-21 12:30:00,False,2.2%,1.1%,-0.4%
71,2017-02-22 13:30:00,False,-0.5%,0.1%,0.3%
72,2017-01-20 13:30:00,False,0.2%,0.5%,1.2%
