,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-07 13:30:00,False,-0.16B,-0.50B,-0.22B
1,2023-01-05 13:30:00,False,-0.04B,0.61B,0.13B
2,2022-12-06 13:30:00,False,1.21B,1.20B,0.61B
3,2022-11-03 12:30:00,False,1.14B,1.34B,0.55B
4,2022-10-05 12:30:00,False,1.52B,3.45B,2.37B
5,2022-09-07 12:30:00,False,4.05B,3.80B,4.88B
6,2022-08-04 12:30:00,False,5.05B,4.80B,4.77B
7,2022-07-07 12:30:00,False,5.32B,2.40B,2.17B
8,2022-06-07 12:30:00,False,1.50B,2.90B,2.28B
9,2022-05-04 12:30:00,False,2.49B,3.90B,3.08B
10,2022-04-05 12:30:00,False,2.66B,2.90B,3.12B
11,2022-03-08 13:30:00,False,2.62B,1.60B,-1.58B
12,2022-02-08 13:30:00,False,-0.14B,2.50B,2.47B
13,2022-01-06 13:30:00,False,3.13B,2.03B,2.26B
14,2021-12-07 13:30:00,False,2.09B,2.00B,1.42B
15,2021-11-04 12:30:00,False,1.86B,1.55B,1.51B
16,2021-10-05 12:30:00,False,1.94B,0.43B,0.74B
17,2021-09-02 12:30:00,False,0.78B,1.40B,2.56B
18,2021-08-05 12:30:00,False,3.23B,-0.68B,-1.58B
19,2021-07-02 12:30:00,False,-1.39B,0.37B,0.46B
20,2021-06-08 12:30:00,False,0.59B,-0.70B,-1.35B
21,2021-05-04 12:30:00,False,-1.14B,0.70B,1.42B
22,2021-04-07 12:30:00,False,1.04B,1.00B,1.21B
23,2021-03-05 13:30:00,False,1.41B,-1.40B,-1.98B
24,2021-02-05 13:30:00,False,-1.67B,-3.00B,-3.56B
25,2021-01-07 13:30:00,False,-3.34B,-3.50B,-3.73B
26,2020-12-04 13:30:00,False,-3.76B,-3.00B,-3.82B
27,2020-11-04 13:30:00,False,-3.25B,-2.60B,-3.21B
28,2020-10-06 12:30:00,False,-2.45B,-2.00B,-2.53B
29,2020-09-03 12:30:00,False,-2.45B,-2.50B,-1.59B
30,2020-08-05 12:30:00,False,-3.19B,-0.90B,-1.33B
31,2020-07-02 12:30:00,False,-0.68B,-3.00B,-4.27B
32,2020-06-04 12:30:00,False,-3.25B,-2.36B,-1.53B
33,2020-05-05 12:30:00,False,-1.41B,-2.00B,-0.89B
34,2020-04-02 12:30:00,False,-0.98B,-1.87B,-1.66B
35,2020-03-06 13:30:00,False,-1.47B,-0.83B,-0.73B
36,2020-02-05 13:30:00,False,-0.40B,-0.61B,-1.20B
37,2020-01-07 13:30:00,False,-1.09B,-1.15B,-1.61B
38,2019-12-05 13:30:00,False,-1.08B,-1.37B,-1.23B
39,2019-11-05 13:30:00,False,-0.98B,-0.70B,-1.24B
40,2019-10-04 12:30:00,False,-0.96B,-1.00B,-1.38B
41,2019-09-04 12:30:00,False,-1.12B,-0.40B,-0.06B
42,2019-08-02 12:30:00,False,0.14B,-0.30B,0.56B
43,2019-07-03 12:30:00,False,0.76B,-1.70B,-1.08B
44,2019-06-06 12:30:00,False,-0.97B,-2.80B,-2.34B
45,2019-05-09 12:30:00,False,-3.21B,-2.45B,-3.42B
46,2019-04-17 12:30:00,False,-2.90B,-3.50B,-3.09B
47,2019-03-27 12:30:00,False,-4.25B,-3.50B,-4.82B
48,2019-03-06 13:30:00,False,-4.59B,-1.70B,-1.98B
49,2019-01-08 13:30:00,False,-2.06B,-1.95B,-0.85B
50,2018-12-06 13:30:00,False,-1.17B,-0.70B,-0.89B
51,2018-11-02 13:30:00,False,-0.42B,0.15B,-0.55B
52,2018-10-05 12:30:00,False,0.53B,-0.50B,-0.19B
53,2018-09-05 12:30:00,False,-0.11B,-0.80B,-0.74B
54,2018-08-03 12:30:00,False,-0.63B,-2.30B,-2.72B
55,2018-07-06 12:30:00,False,-2.77B,-2.05B,-1.86B
56,2018-06-06 12:30:00,False,-1.90B,-3.40B,-3.93B
57,2018-05-03 12:30:00,False,-4.14B,-2.30B,-2.93B
58,2018-04-05 12:30:00,False,-2.69B,-2.10B,-1.94B
59,2018-03-07 13:30:00,False,-1.91B,-2.50B,-3.05B
60,2018-02-06 13:30:00,False,-3.19B,-2.30B,-2.71B
61,2018-01-05 13:30:00,False,-2.54B,-1.20B,-1.55B
62,2017-12-05 13:30:00,False,-1.47B,-2.70B,-3.36B
63,2017-11-03 12:30:00,False,-3.18B,-3.00B,-3.18B
64,2017-10-05 12:30:00,False,-3.41B,-2.60B,-2.98B
65,2017-09-06 12:30:00,False,-3.04B,-3.10B,-3.76B
66,2017-08-04 12:30:00,False,-3.60B,-1.35B,-1.36B
67,2017-07-06 12:30:00,False,-1.09B,-0.53B,-0.55B
68,2017-06-02 12:30:00,False,-0.37B,-0.07B,-0.94B
69,2017-05-04 12:30:00,False,-0.14B,-0.80B,-1.08B
70,2017-04-04 12:30:00,False,-0.97B,0.50B,0.42B
71,2017-03-07 13:30:00,False,0.81B,0.70B,0.45B
72,2017-02-07 13:30:00,False,0.92B,0.35B,1.01B
73,2017-01-06 13:30:00,False,0.53B,-1.60B,-1.02B
