,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-02-07 13:30:00,False,63.13B, ,63.97B
1,2023-01-05 13:30:00,False,64.41B, ,65.76B
2,2022-12-06 13:30:00,False,65.82B, ,65.44B
3,2022-11-03 12:30:00,False,65.23B, ,64.94B
4,2022-10-05 12:30:00,False,63.86B, ,64.97B
5,2022-09-07 12:30:00,False,64.20B, ,65.35B
6,2022-08-04 12:30:00,False,64.86B, ,63.79B
7,2022-07-07 12:30:00,False,63.11B, ,63.54B
8,2022-06-07 12:30:00,False,62.81B,58.11B,61.67B
9,2022-05-04 12:30:00,False,61.14B,58.11B,56.76B
10,2022-04-05 12:30:00,False,56.08B,54.68B,54.00B
11,2022-03-08 13:30:00,False,54.00B, ,58.30B
12,2022-02-08 13:30:00,False,57.75B, ,55.68B
13,2022-01-06 13:30:00,False,55.44B, ,54.16B
14,2021-12-07 13:30:00,False,54.09B, ,51.39B
15,2021-11-04 12:30:00,False,51.14B, ,52.75B
16,2021-10-05 12:30:00,False,52.51B, ,53.28B
17,2021-09-02 12:30:00,False,52.97B, ,50.85B
18,2021-08-05 12:30:00,False,50.53B, ,51.02B
19,2021-07-02 12:30:00,False,50.92B, ,49.87B
20,2021-06-08 12:30:00,False,49.61B, ,52.05B
21,2021-05-04 12:30:00,False,51.76B, ,49.07B
22,2021-04-07 12:30:00,False,48.82B, ,50.02B
23,2021-03-05 13:30:00,False,49.78B, ,49.35B
24,2021-02-05 13:30:00,False,48.98B, ,50.16B
25,2021-01-07 13:30:00,False,50.10B, ,50.27B
26,2020-12-04 13:30:00,False,50.23B,47.90B,49.30B
27,2020-11-04 13:30:00,False,48.79B,47.90B,48.08B
28,2020-10-06 12:30:00,False,47.38B, ,47.93B
29,2020-09-03 12:30:00,False,47.88B,41.30B,42.49B
30,2020-08-05 12:30:00,False,42.90B,41.30B,35.23B
31,2020-07-02 12:30:00,False,35.29B,38.10B,36.71B
32,2020-06-04 12:30:00,False,35.91B,41.37B,47.96B
33,2020-05-05 12:30:00,False,47.67B,45.80B,49.42B
34,2020-04-02 12:30:00,False,49.32B,49.00B,49.74B
35,2020-03-06 13:30:00,False,49.61B,50.30B,49.85B
36,2020-02-05 13:30:00,False,49.69B,50.30B,49.57B
37,2020-01-07 13:30:00,False,49.78B,51.02B,51.00B
38,2019-12-05 13:30:00,False,50.99B,50.35B,50.76B
39,2019-11-05 13:30:00,False,50.76B,50.98B,51.65B
40,2019-10-04 12:30:00,False,51.54B, ,51.05B
41,2019-09-04 12:30:00,False,50.89B,51.80B,50.28B
42,2019-08-02 12:30:00,False,50.17B,51.80B,52.43B
43,2019-07-03 12:30:00,False,52.34B,52.10B,51.84B
44,2019-06-06 12:30:00,False,51.67B, ,52.38B
45,2019-05-09 12:30:00,False,52.26B,51.50B,50.96B
46,2019-04-17 12:30:00,False,50.87B,51.50B,51.71B
47,2019-03-27 12:30:00,False,51.82B,50.51B,51.05B
48,2019-03-06 13:30:00,False,50.90B, ,50.10B
49,2019-01-08 13:30:00,False,50.39B,51.10B,50.62B
50,2018-12-06 13:30:00,False,50.49B,51.10B,50.80B
51,2018-11-02 13:30:00,False,50.79B, ,51.00B
52,2018-10-05 12:30:00,False,50.02B, ,51.30B
53,2018-09-05 12:30:00,False,51.38B, ,51.60B
54,2018-08-03 12:30:00,False,51.32B, ,51.43B
55,2018-07-06 12:30:00,False,51.12B, ,50.26B
56,2018-06-06 12:30:00,False,50.47B, ,51.75B
57,2018-05-03 12:30:00,False,51.72B, ,48.80B
58,2018-04-05 12:30:00,False,48.63B, ,47.72B
59,2018-03-07 13:30:00,False,47.75B, ,49.87B
60,2018-02-06 13:30:00,False,49.70B, ,48.96B
61,2018-01-05 13:30:00,False,48.75B, ,46.09B
62,2017-12-05 13:30:00,False,45.93B, ,46.67B
63,2017-11-03 12:30:00,False,46.74B, ,46.87B
64,2017-10-05 12:30:00,False,47.04B, ,47.03B
65,2017-09-06 12:30:00,False,47.18B, ,50.20B
66,2017-08-04 12:30:00,False,50.12B, ,49.98B
67,2017-07-06 12:30:00,False,49.77B, ,48.60B
68,2017-06-02 12:30:00,False,48.06B, ,47.76B
69,2017-05-04 12:30:00,False,47.11B, ,46.33B
70,2017-04-04 12:30:00,False,46.31B, ,46.04B
71,2017-03-07 13:30:00,False,45.64B, ,45.77B
72,2017-02-07 13:30:00,False,45.52B, ,45.06B
73,2017-01-06 13:30:00,False,45.09B, ,44.76B
