,Timestamp,Prelim,Actual,Forecast,Previous
0,2023-01-06 13:30:00,False,65.0%, ,64.8%
1,2022-12-02 13:30:00,False,64.8%, ,64.9%
2,2022-11-04 12:30:00,False,64.9%, ,64.7%
3,2022-10-07 12:30:00,False,64.7%, ,64.8%
4,2022-09-09 12:30:00,False,64.8%, ,64.7%
5,2022-08-05 12:30:00,False,64.7%,65.3%,64.9%
6,2022-07-08 12:30:00,False,64.9%,65.3%,65.3%
7,2022-06-10 12:30:00,False,65.3%, ,65.3%
8,2022-05-06 12:30:00,False,65.3%,65.4%,65.4%
9,2022-04-08 12:30:00,False,65.4%,65.4%,65.4%
10,2022-03-11 13:30:00,False,65.4%, ,65.0%
11,2022-02-04 13:30:00,False,65.0%, ,0.1%
12,2022-01-07 13:30:00,False,65.3%, ,65.3%
13,2021-12-03 13:30:00,False,65.3%, ,65.3%
14,2021-11-05 12:30:00,False,65.3%, ,65.5%
15,2021-10-08 12:30:00,False,65.5%, ,65.1%
16,2021-09-10 12:30:00,False,65.1%, ,65.2%
17,2021-08-06 12:30:00,False,65.2%, ,65.2%
18,2021-07-09 12:30:00,False,65.2%, ,64.6%
19,2021-06-04 12:30:00,False,64.6%, ,64.9%
20,2021-05-07 12:30:00,False,64.9%, ,65.2%
21,2021-04-09 12:30:00,False,65.2%, ,64.7%
22,2021-03-12 13:30:00,False,64.7%,64.9%,64.7%
23,2021-02-05 13:30:00,False,64.7%,64.9%,0.1%
24,2021-01-08 13:30:00,False,64.9%, ,65.1%
25,2020-12-04 13:30:00,False,65.1%,65.2%,65.2%
26,2020-11-06 13:30:00,False,65.2%,65.0%,65.0%
27,2020-10-09 12:30:00,False,65.0%,64.8%,64.6%
28,2020-09-04 12:30:00,False,64.6%,64.6%,64.3%
29,2020-08-07 12:30:00,False,64.3%,64.4%,63.8%
30,2020-07-10 12:30:00,False,63.8%, ,61.4%
31,2020-06-05 12:30:00,False,61.4%, ,59.8%
32,2020-05-08 12:30:00,False,59.8%,65.1%,63.5%
33,2020-04-09 12:30:00,False,63.5%,65.1%,65.5%
34,2020-03-06 13:30:00,False,65.5%,65.4%,65.4%
35,2020-02-07 13:30:00,False,65.4%,65.6%,65.5%
36,2020-01-10 13:30:00,False,65.5%,65.7%,65.6%
37,2019-12-06 13:30:00,False,65.6%,65.7%,65.7%
38,2019-11-08 13:30:00,False,65.7%,65.7%,65.7%
39,2019-10-11 12:30:00,False,65.7%,65.8%,65.8%
40,2019-09-06 12:30:00,False,65.8%,65.7%,65.6%
41,2019-08-09 12:30:00,False,65.6%,65.7%,65.7%
42,2019-07-05 12:30:00,False,65.7%, ,65.7%
43,2019-06-07 12:30:00,False,65.7%,65.8%,65.9%
44,2019-05-10 12:30:00,False,65.9%,65.7%,65.7%
45,2019-04-05 12:30:00,False,65.7%,65.7%,65.8%
46,2019-03-08 13:30:00,False,65.8%,65.4%,65.6%
47,2019-02-08 13:30:00,False,65.6%,65.4%,65.4%
48,2019-01-04 13:30:00,False,65.4%, ,65.4%
49,2018-12-07 13:30:00,False,65.4%, ,65.2%
50,2018-11-02 12:30:00,False,65.2%, ,65.4%
51,2018-10-05 12:30:00,False,65.4%,65.3%,65.3%
52,2018-09-07 12:30:00,False,65.3%,65.4%,65.4%
53,2018-08-10 12:30:00,False,65.4%,65.4%,65.5%
54,2018-07-06 12:30:00,False,65.5%,65.3%,65.3%
55,2018-06-08 12:30:00,False,65.3%,65.4%,65.4%
56,2018-05-11 12:30:00,False,65.4%,65.5%,65.5%
57,2018-04-06 12:30:00,False,65.5%, ,65.5%
58,2018-03-09 13:30:00,False,65.5%,65.6%,65.5%
59,2018-02-09 13:30:00,False,65.5%, ,65.8%
60,2018-01-05 13:30:00,False,65.8%, ,65.7%
61,2017-12-01 13:30:00,False,65.7%, ,65.7%
62,2017-11-03 12:30:00,False,65.7%, ,65.6%
63,2017-10-06 12:30:00,False,65.6%, ,65.7%
64,2017-09-08 12:30:00,False,65.7%, ,65.7%
65,2017-08-04 12:30:00,False,65.7%, ,65.9%
66,2017-07-07 12:30:00,False,65.9%, ,65.8%
67,2017-06-09 12:30:00,False,65.8%, ,65.6%
68,2017-05-05 12:30:00,False,65.6%, ,65.9%
69,2017-04-07 12:30:00,False,65.9%, ,65.8%
70,2017-03-10 13:30:00,False,65.8%, ,65.9%
71,2017-02-10 13:30:00,False,65.9%,65.8%,65.8%
72,2017-01-06 13:30:00,False,65.8%, ,65.6%
