Timestamp,Prelim,Actual,Forecast,Previous
2023-01-06 08:30:00,False,65.0%, ,64.8%
2022-12-02 08:30:00,False,64.8%, ,64.9%
2022-11-04 07:30:00,False,64.9%, ,64.7%
2022-10-07 07:30:00,False,64.7%, ,64.8%
2022-09-09 07:30:00,False,64.8%, ,64.7%
2022-08-05 07:30:00,False,64.7%,65.3%,64.9%
2022-07-08 07:30:00,False,64.9%,65.3%,65.3%
2022-06-10 07:30:00,False,65.3%, ,65.3%
2022-05-06 07:30:00,False,65.3%,65.4%,65.4%
2022-04-08 07:30:00,False,65.4%,65.4%,65.4%
2022-03-11 08:30:00,False,65.4%, ,65.0%
2022-02-04 08:30:00,False,65.0%, ,0.1%
2022-01-07 08:30:00,False,65.3%, ,65.3%
2021-12-03 08:30:00,False,65.3%, ,65.3%
2021-11-05 07:30:00,False,65.3%, ,65.5%
2021-10-08 07:30:00,False,65.5%, ,65.1%
2021-09-10 07:30:00,False,65.1%, ,65.2%
2021-08-06 07:30:00,False,65.2%, ,65.2%
2021-07-09 07:30:00,False,65.2%, ,64.6%
2021-06-04 07:30:00,False,64.6%, ,64.9%
2021-05-07 07:30:00,False,64.9%, ,65.2%
2021-04-09 07:30:00,False,65.2%, ,64.7%
2021-03-12 08:30:00,False,64.7%,64.9%,64.7%
2021-02-05 08:30:00,False,64.7%,64.9%,0.1%
2021-01-08 08:30:00,False,64.9%, ,65.1%
2020-12-04 08:30:00,False,65.1%,65.2%,65.2%
2020-11-06 08:30:00,False,65.2%,65.0%,65.0%
2020-10-09 07:30:00,False,65.0%,64.8%,64.6%
2020-09-04 07:30:00,False,64.6%,64.6%,64.3%
2020-08-07 07:30:00,False,64.3%,64.4%,63.8%
2020-07-10 07:30:00,False,63.8%, ,61.4%
2020-06-05 07:30:00,False,61.4%, ,59.8%
2020-05-08 07:30:00,False,59.8%,65.1%,63.5%
2020-04-09 07:30:00,False,63.5%,65.1%,65.5%
2020-03-06 08:30:00,False,65.5%,65.4%,65.4%
2020-02-07 08:30:00,False,65.4%,65.6%,65.5%
2020-01-10 08:30:00,False,65.5%,65.7%,65.6%
2019-12-06 08:30:00,False,65.6%,65.7%,65.7%
2019-11-08 08:30:00,False,65.7%,65.7%,65.7%
2019-10-11 07:30:00,False,65.7%,65.8%,65.8%
2019-09-06 07:30:00,False,65.8%,65.7%,65.6%
2019-08-09 07:30:00,False,65.6%,65.7%,65.7%
2019-07-05 07:30:00,False,65.7%, ,65.7%
2019-06-07 07:30:00,False,65.7%,65.8%,65.9%
2019-05-10 07:30:00,False,65.9%,65.7%,65.7%
2019-04-05 07:30:00,False,65.7%,65.7%,65.8%
2019-03-08 08:30:00,False,65.8%,65.4%,65.6%
2019-02-08 08:30:00,False,65.6%,65.4%,65.4%
2019-01-04 08:30:00,False,65.4%, ,65.4%
2018-12-07 08:30:00,False,65.4%, ,65.2%
2018-11-02 07:30:00,False,65.2%, ,65.4%
2018-10-05 07:30:00,False,65.4%,65.3%,65.3%
2018-09-07 07:30:00,False,65.3%,65.4%,65.4%
2018-08-10 07:30:00,False,65.4%,65.4%,65.5%
2018-07-06 07:30:00,False,65.5%,65.3%,65.3%
2018-06-08 07:30:00,False,65.3%,65.4%,65.4%
2018-05-11 07:30:00,False,65.4%,65.5%,65.5%
2018-04-06 07:30:00,False,65.5%, ,65.5%
2018-03-09 08:30:00,False,65.5%,65.6%,65.5%
2018-02-09 08:30:00,False,65.5%, ,65.8%
2018-01-05 08:30:00,False,65.8%, ,65.7%
2017-12-01 08:30:00,False,65.7%, ,65.7%
2017-11-03 07:30:00,False,65.7%, ,65.6%
2017-10-06 07:30:00,False,65.6%, ,65.7%
2017-09-08 07:30:00,False,65.7%, ,65.7%
2017-08-04 07:30:00,False,65.7%, ,65.9%
2017-07-07 07:30:00,False,65.9%, ,65.8%
2017-06-09 07:30:00,False,65.8%, ,65.6%
2017-05-05 07:30:00,False,65.6%, ,65.9%
2017-04-07 07:30:00,False,65.9%, ,65.8%
2017-03-10 08:30:00,False,65.8%, ,65.9%
2017-02-10 08:30:00,False,65.9%,65.8%,65.8%
2017-01-06 08:30:00,False,65.8%, ,65.6%
