Timestamp,Prelim,Actual,Forecast,Previous
2023-01-18 08:30:00,False,-3.1%,-1.3%,-0.8%
2022-12-19 08:30:00,False,-0.8%, ,1.3%
2022-11-18 08:30:00,False,1.3%,0.2%,-3.1%
2022-10-19 07:30:00,False,-3.2%,-3.5%,-4.3%
2022-09-19 07:30:00,False,-4.2%,3.2%,-7.5%
2022-08-18 07:30:00,False,-7.4%, ,-0.1%
2022-07-20 07:30:00,False,-0.1%, ,2.7%
2022-06-17 07:30:00,False,2.5%, ,-2.1%
2022-05-19 07:30:00,False,-2.0%, ,11.8%
2022-04-22 07:30:00,False,11.8%, ,6.4%
2022-03-22 07:30:00,False,6.0%, ,6.5%
2022-02-28 08:30:00,False,6.5%,4.9%,-2.7%
2022-01-31 08:30:00,False,-2.9%,-1.3%,-0.1%
2022-01-04 08:30:00,False,-1.0%, ,4.8%
2021-11-29 08:30:00,False,4.8%, ,2.5%
2021-10-29 07:30:00,False,2.5%, ,-2.4%
2021-09-29 07:30:00,False,-2.4%, ,2.2%
2021-08-27 07:30:00,False,2.2%, ,3.8%
2021-07-30 07:30:00,False,3.9%, ,3.2%
2021-06-30 07:30:00,False,3.2%, ,1.0%
2021-05-31 07:30:00,False,1.0%, ,2.3%
2021-04-30 07:30:00,False,2.3%, ,6.6%
2021-03-31 07:30:00,False,6.6%, ,5.7%
2021-02-26 08:30:00,False,5.7%, ,3.5%
2021-01-29 08:30:00,False,3.5%, ,0.6%
2021-01-05 08:30:00,False,0.6%, ,0.5%
2020-11-30 08:30:00,False,0.5%, ,-2.2%
2020-10-30 07:30:00,False,-2.2%, ,3.2%
2020-09-29 07:30:00,False,3.2%, ,3.0%
2020-08-31 07:30:00,False,3.0%,6.9%,7.5%
2020-07-31 07:30:00,False,7.5%,6.9%,16.4%
2020-06-29 07:30:00,False,16.4%,-7.5%,-13.4%
2020-05-29 07:30:00,False,-13.4%,-13.6%,-15.6%
2020-04-30 07:30:00,False,-15.6%,-13.6%,-4.7%
2020-03-31 07:30:00,False,-4.7%, ,-2.3%
2020-02-28 08:30:00,False,-2.2%, ,2.7%
2020-01-31 08:30:00,False,2.8%,-0.1%,1.4%
2020-01-06 08:30:00,False,1.5%,1.0%,-1.9%
2019-11-29 08:30:00,False,-1.9%, ,0.0%
2019-10-31 07:30:00,False,0.0%,2.5%,-1.8%
2019-09-30 07:30:00,False,-1.8%, ,1.3%
2019-08-30 07:30:00,False,1.2%,1.6%,-6.1%
2019-07-31 07:30:00,False,-5.9%, ,-2.4%
2019-06-28 07:30:00,False,-2.3%,1.1%,5.7%
2019-05-31 07:30:00,False,5.6%,2.3%,2.8%
2019-04-30 07:30:00,False,2.8%,3.9%,3.0%
2019-03-29 07:30:00,False,4.6%, ,4.0%
2019-02-28 08:30:00,False,3.8%,4.1%,3.8%
2019-01-31 08:30:00,False,3.8%,3.9%,-11.8%
2019-01-04 08:30:00,False,-11.7%, ,-2.3%
2018-11-30 08:30:00,False,-2.4%,-5.2%,-1.0%
2018-10-31 07:30:00,False,-0.9%,-0.5%,-4.8%
2018-09-28 07:30:00,False,-4.6%,0.8%,0.7%
2018-08-31 07:30:00,False,0.7%,0.0%,0.6%
2018-07-31 07:30:00,False,0.5%,2.7%,3.8%
2018-06-29 07:30:00,False,3.8%,1.2%,0.8%
2018-05-30 07:30:00,False,0.7%,2.1%,2.1%
2018-04-30 07:30:00,False,2.1%,0.6%,-0.4%
2018-03-29 07:30:00,False,-0.3%,2.8%,3.4%
2018-02-28 08:30:00,False,3.3%,1.8%,-0.9%
2018-01-31 08:30:00,False,-0.9%,-2.2%,5.4%
2018-01-04 08:30:00,False,5.5%,4.0%,3.8%
2017-11-28 08:30:00,False,3.8%,2.0%,-0.2%
2017-10-31 07:30:00,False,-0.1%,0.4%,0.9%
2017-09-29 07:30:00,False,1.0%,0.3%,-0.9%
2017-08-29 07:30:00,False,-0.6%,-2.5%,-3.6%
2017-07-31 07:30:00,False,-3.7%,-3.2%,-1.7%
2017-06-30 07:30:00,False,-1.8%,-1.0%,1.6%
2017-05-30 07:30:00,False,1.6%, ,-1.7%
2017-04-28 07:30:00,False,-1.6%, ,1.3%
2017-03-30 07:30:00,False,1.2%,0.8%,1.7%
2017-02-28 08:30:00,False,1.7%,1.3%,6.5%
2017-01-31 08:30:00,False,6.5%,2.8%,-1.6%
2017-01-05 08:30:00,False,-2.0%,-1.5%,3.3%
